"","period","org_code","type","attendances","breaches","admissions"
"1",2017-03-01,"RF4","1",21289,2879,5060
"2",2017-03-01,"RF4","2",813,22,0
"3",2017-03-01,"RF4","other",2850,6,0
"4",2017-03-01,"R1H","1",30210,5902,6943
"5",2017-03-01,"R1H","2",807,11,0
"6",2017-03-01,"R1H","other",11352,136,0
"7",2017-03-01,"AD913","other",4381,2,0
"8",2017-03-01,"RYX","other",19562,258,0
"9",2017-03-01,"RQM","1",17414,2030,3597
"10",2017-03-01,"RQM","other",7817,86,0
"11",2017-03-01,"RJ6","1",6654,1322,2202
"12",2017-03-01,"RJ6","other",3844,140,0
"13",2017-03-01,"Y02696","other",1069,0,0
"14",2017-03-01,"NX122","other",2147,0,0
"15",2017-03-01,"RVR","1",12649,473,3360
"16",2017-03-01,"RVR","2",544,5,7
"17",2017-03-01,"RJ1","1",12385,2092,3181
"18",2017-03-01,"RJ1","2",832,0,0
"19",2017-03-01,"RJ1","other",2939,5,0
"20",2017-03-01,"Y03082","other",4068,0,0
"21",2017-03-01,"RQX","1",10300,635,1684
"22",2017-03-01,"RY9","other",4676,0,0
"23",2017-03-01,"RYJ","1",10020,2632,3270
"24",2017-03-01,"RYJ","2",4274,68,12
"25",2017-03-01,"RYJ","other",11156,190,0
"26",2017-03-01,"RJZ","1",17810,4153,4477
"27",2017-03-01,"RJZ","2",2122,1,0
"28",2017-03-01,"RJZ","other",5027,186,0
"29",2017-03-01,"RAX","1",9239,968,1839
"30",2017-03-01,"RAX","2",1163,4,0
"31",2017-03-01,"RJ2","1",18137,2993,4967
"32",2017-03-01,"RJ2","other",6527,113,0
"33",2017-03-01,"R1K","1",12137,4874,4659
"34",2017-03-01,"R1K","other",16738,126,0
"35",2017-03-01,"RP6","2",9020,281,11
"36",2017-03-01,"RAT","other",5561,62,0
"37",2017-03-01,"RAP","1",15077,2170,2564
"38",2017-03-01,"Y02973","other",856,0,0
"39",2017-03-01,"AF003","other",741,0,0
"40",2017-03-01,"AF002","other",657,0,0
"41",2017-03-01,"RAL","1",19072,3267,3872
"42",2017-03-01,"RAL","other",3288,0,0
"43",2017-03-01,"Y03047","other",1977,0,0
"44",2017-03-01,"RJ7","1",13430,1667,3814
"45",2017-03-01,"RJ7","other",1195,0,0
"46",2017-03-01,"F84747","other",2541,0,0
"47",2017-03-01,"RAS","1",5838,1889,2126
"48",2017-03-01,"RAS","other",8448,59,0
"49",2017-03-01,"Y03094","other",3125,0,0
"50",2017-03-01,"E84068","other",3373,0,0
"51",2017-03-01,"RKE","1",8528,990,1347
"52",2017-03-01,"RRV","1",12059,1252,2182
"53",2017-03-01,"Y02147","other",9912,0,0
"54",2017-03-01,"Y03201","other",2414,0,0
"55",2017-03-01,"NL7","other",5592,0,0
"56",2017-03-01,"8J094","other",2644,0,0
"57",2017-03-01,"RDD","1",11981,1075,2468
"58",2017-03-01,"RC1","1",6402,306,2022
"59",2017-03-01,"M85813","other",3110,0,0
"60",2017-03-01,"RQ3","1",5732,173,920
"61",2017-03-01,"RJF","1",5360,272,1870
"62",2017-03-01,"RJF","other",4580,0,5
"63",2017-03-01,"RGT","1",9567,766,3318
"64",2017-03-01,"RGT","other",3439,2,16
"65",2017-03-01,"RFS","1",6889,631,1996
"66",2017-03-01,"NQ108","other",2410,4,0
"67",2017-03-01,"RDE","1",7562,651,2597
"68",2017-03-01,"RDE","other",4545,0,0
"69",2017-03-01,"Y03571","other",6304,77,0
"70",2017-03-01,"RTG","1",11780,1773,3745
"71",2017-03-01,"RTG","other",4466,0,50
"72",2017-03-01,"RY8","other",5316,0,0
"73",2017-03-01,"NNJ","other",1710,3,0
"74",2017-03-01,"RWH","1",9376,2290,3222
"75",2017-03-01,"RWH","other",4832,0,0
"76",2017-03-01,"NQ106","other",615,1,0
"77",2017-03-01,"RLT","1",6726,799,1119
"78",2017-03-01,"NTPAL","other",2159,0,0
"79",2017-03-01,"NEH06","other",2116,0,0
"80",2017-03-01,"RR1","1",19628,3654,6006
"81",2017-03-01,"RR1","other",3528,53,1390
"82",2017-03-01,"RY4","other",987,15,0
"83",2017-03-01,"RQQ","1",3766,405,856
"84",2017-03-01,"RGQ","1",7321,560,1998
"85",2017-03-01,"RGQ","other",531,0,199
"86",2017-03-01,"RGP","1",6301,318,1242
"87",2017-03-01,"RGP","other",55,0,0
"88",2017-03-01,"RNQ","1",7653,1546,2555
"89",2017-03-01,"C82038","other",451,0,0
"90",2017-03-01,"RY5","other",14325,142,18
"91",2017-03-01,"NJS05","other",3886,80,0
"92",2017-03-01,"RC9","1",8814,172,2650
"93",2017-03-01,"RC9","other",4029,0,0
"94",2017-03-01,"C82009","other",368,0,0
"95",2017-03-01,"NLO11","other",575,1,0
"96",2017-03-01,"NLO09","other",621,0,0
"97",2017-03-01,"RQ8","1",8163,1371,2291
"98",2017-03-01,"RQ8","other",428,7,0
"99",2017-03-01,"RD8","1",7692,887,1468
"100",2017-03-01,"RD8","other",4697,10,0
"101",2017-03-01,"Y02652","other",3822,0,0
"102",2017-03-01,"RM1","1",10075,1372,2612
"103",2017-03-01,"RM1","other",971,0,0
"104",2017-03-01,"RGN","1",7832,993,2406
"105",2017-03-01,"RGN","other",828,0,0
"106",2017-03-01,"RNS","1",9027,1336,3303
"107",2017-03-01,"RNS","2",1104,6,0
"108",2017-03-01,"NMH01","other",5502,0,0
"109",2017-03-01,"NR3","other",5046,459,0
"110",2017-03-01,"RX1","1",15446,3187,4076
"111",2017-03-01,"RX1","2",1564,12,0
"112",2017-03-01,"RX1","other",220,0,0
"113",2017-03-01,"NLO10","other",2994,17,0
"114",2017-03-01,"C82010","other",272,0,0
"115",2017-03-01,"NLO12","other",309,1,0
"116",2017-03-01,"Y02428","other",2300,0,0
"117",2017-03-01,"RXK","1",14665,2828,3067
"118",2017-03-01,"RXK","2",2087,39,14
"119",2017-03-01,"RXK","other",2783,0,0
"120",2017-03-01,"RK5","1",8842,599,2765
"121",2017-03-01,"RK5","other",4169,26,7
"122",2017-03-01,"RXW","1",10371,2217,2441
"123",2017-03-01,"RXW","other",1673,0,0
"124",2017-03-01,"R1D","other",1987,0,0
"125",2017-03-01,"Y02615","other",5493,0,0
"126",2017-03-01,"RJC","1",5572,198,1806
"127",2017-03-01,"RJC","other",663,0,0
"128",2017-03-01,"RAJ","1",8595,680,2314
"129",2017-03-01,"Y02470","other",2009,0,0
"130",2017-03-01,"Y02961","other",3329,0,0
"131",2017-03-01,"RNA","1",9006,679,2425
"132",2017-03-01,"RNA","other",6393,0,0
"133",2017-03-01,"RQW","1",8737,1935,1835
"134",2017-03-01,"RCX","1",5320,496,2049
"135",2017-03-01,"RL4","1",11505,1651,2606
"136",2017-03-01,"RL4","other",8651,104,0
"137",2017-03-01,"RWD","1",13111,2737,3502
"138",2017-03-01,"RRK","1",10032,1543,2818
"139",2017-03-01,"RKB","1",11986,3213,4077
"140",2017-03-01,"RKB","2",2081,47,95
"141",2017-03-01,"RKB","other",2187,2,1
"142",2017-03-01,"RWE","1",12697,3227,3758
"143",2017-03-01,"RWE","2",1850,19,9
"144",2017-03-01,"RWE","other",6073,69,286
"145",2017-03-01,"RJE","1",15129,4019,4511
"146",2017-03-01,"RJE","2",429,0,0
"147",2017-03-01,"RJE","other",4774,91,0
"148",2017-03-01,"RBK","1",6360,1986,1936
"149",2017-03-01,"RBK","other",3809,1,0
"150",2017-03-01,"ATQ02","other",4019,0,0
"151",2017-03-01,"RWG","1",8042,2644,2701
"152",2017-03-01,"RWG","other",4023,3,0
"153",2017-03-01,"RGR","1",5887,419,2063
"154",2017-03-01,"RWP","1",9976,2711,3201
"155",2017-03-01,"RWP","other",5581,2,0
"156",2017-03-01,"RLQ","1",4618,915,1185
"157",2017-03-01,"RLQ","other",3060,0,0
"158",2017-03-01,"REM","1",7186,1449,2718
"159",2017-03-01,"REM","other",7197,0,0
"160",2017-03-01,"RCF","1",5480,379,1078
"161",2017-03-01,"RBS","1",5349,216,1130
"162",2017-03-01,"RFF","1",7146,537,2143
"163",2017-03-01,"RXL","1",7064,2208,2247
"164",2017-03-01,"RXL","other",9520,8,0
"165",2017-03-01,"RMC","1",8492,1563,2242
"166",2017-03-01,"RMC","other",1072,1,7
"167",2017-03-01,"RAE","1",11362,864,3045
"168",2017-03-01,"NNF09","other",1635,2,0
"169",2017-03-01,"RY2","other",8073,230,0
"170",2017-03-01,"RWY","1",12967,337,2628
"171",2017-03-01,"RW3","1",13272,2106,3890
"172",2017-03-01,"RW3","2",3620,18,161
"173",2017-03-01,"RW3","other",10219,28,148
"174",2017-03-01,"RLN","1",7844,795,2650
"175",2017-03-01,"RLN","2",2497,8,24
"176",2017-03-01,"RLN","other",2729,2,0
"177",2017-03-01,"RJR","1",6019,922,1541
"178",2017-03-01,"RJR","other",598,5,0
"179",2017-03-01,"RXP","1",10733,752,3387
"180",2017-03-01,"RXP","other",10497,0,0
"181",2017-03-01,"RNN","other",1781,50,0
"182",2017-03-01,"RP5","1",11271,1035,3315
"183",2017-03-01,"RP5","other",2715,0,388
"184",2017-03-01,"RJN","1",3998,704,958
"185",2017-03-01,"RJN","other",262,0,0
"186",2017-03-01,"RXR","1",8923,2562,3054
"187",2017-03-01,"RXR","other",7884,401,70
"188",2017-03-01,"NNF28","other",88,0,0
"189",2017-03-01,"RR7","1",7781,409,1670
"190",2017-03-01,"RR7","other",2448,3,0
"191",2017-03-01,"RCD","1",3975,135,988
"192",2017-03-01,"RCD","other",895,0,0
"193",2017-03-01,"RWA","1",11425,690,3329
"194",2017-03-01,"RWA","other",1402,2,0
"195",2017-03-01,"RV9","other",1621,0,0
"196",2017-03-01,"RXN","1",5770,1793,1721
"197",2017-03-01,"RXN","other",6424,208,326
"198",2017-03-01,"Y01231","other",2559,0,0
"199",2017-03-01,"RR8","1",18152,1844,5213
"200",2017-03-01,"RR8","other",2100,0,0
"201",2017-03-01,"Y02875","other",4280,0,0
"202",2017-03-01,"RY1","other",2541,0,0
"203",2017-03-01,"REP","2",1139,15,111
"204",2017-03-01,"Y01069","other",3222,0,0
"205",2017-03-01,"RBT","1",5708,205,1840
"206",2017-03-01,"RBT","other",1649,0,0
"207",2017-03-01,"RXF","1",20398,1515,5047
"208",2017-03-01,"RNL","1",7821,1185,2055
"209",2017-03-01,"RVW","1",5840,254,1650
"210",2017-03-01,"RVW","other",1744,2,4
"211",2017-03-01,"RTV","other",2011,0,0
"212",2017-03-01,"NLO01","other",6745,192,0
"213",2017-03-01,"RJL","1",11630,2006,2565
"214",2017-03-01,"RJL","other",1497,1,3
"215",2017-03-01,"RTF","1",8260,671,3975
"216",2017-03-01,"RTF","other",8306,54,31
"217",2017-03-01,"RW6","1",22930,4997,5328
"218",2017-03-01,"RW6","other",4301,96,107
"219",2017-03-01,"RT2","other",3463,0,0
"220",2017-03-01,"AC008","other",1042,0,0
"221",2017-03-01,"RQ6","1",7715,2040,2344
"222",2017-03-01,"RQ6","2",1761,28,44
"223",2017-03-01,"RQ6","other",10500,0,0
"224",2017-03-01,"RM3","1",8898,1355,2637
"225",2017-03-01,"AXT02","other",3173,0,0
"226",2017-03-01,"RCU","1",5440,227,726
